lat,lon,alt,speed
41.971185655,-85.70053118166666,10597.555,129.2573
41.971194698333335,-85.70046280166666,10598.02,129.2573
41.971190801666665,-85.70040994,10594.394,129.2573
41.97119902,-85.70034470666667,10594.597,129.1422
41.97120247833333,-85.700266305,10593.885,129.2573
41.97120899,-85.70019442833333,10593.992,129.2573
41.97121655833333,-85.70012425666667,10594.309,129.1422
41.9712247,-85.70005477666666,10594.726,129.2573
41.97123316,-85.699985595,10595.184,129.1422
41.971241793333334,-85.69991661166667,10595.655,129.2573
41.971250535,-85.69984776333334,10596.141,129.1422
41.97125969166667,-85.69977932833334,10596.666,129.0271
41.971268861666665,-85.69971089166667,10597.195,129.2573
41.971278051666665,-85.69964242,10597.73,129.1422
41.97128722666667,-85.699574005,10598.26,129.0271
41.97129641833333,-85.69950557833333,10598.792,129.1422
41.97130559666667,-85.699437135,10599.32,129.1422
41.97131523833333,-85.699365285,10599.876,129.1422
41.97132443833333,-85.69929683,10600.408,129.1422
41.97133362833333,-85.69922839666667,10600.938,129.1422
41.97134283333333,-85.69915996,10601.476,129.1422
41.97135204,-85.69909153,10602.01,129.1422
41.971361226666666,-85.69902309833333,10602.541,129.1422
41.971370416666666,-85.69895463666667,10603.073,129.1422
41.97137961833333,-85.69888619166667,10603.605,129.1422
41.971388813333334,-85.69881777666667,10604.136,129.1422
41.97139800666667,-85.69874935666667,10604.668,129.1422
41.971407205,-85.69868091833334,10605.201,129.1422
41.971416418333334,-85.69861247,10605.736,129.2573
41.97142562333333,-85.69854404833333,10606.268,129.0271
41.9714348,-85.69847564333334,10606.797,129.1422
41.97144399166667,-85.6984072,10607.331,129.1422
41.971453195,-85.69833875666667,10607.86,129.1422
41.97146240833333,-85.69827033166666,10608.393,129.1422
41.971471613333335,-85.69820191333334,10608.926,129.0271
41.9714808,-85.69813349833333,10609.454,129.1422
41.97149001333333,-85.69806506333333,10609.99,129.1422
41.971499215,-85.69799664166666,10610.52,129.1422
41.97150841166667,-85.69792822333334,10611.053,129.1422
41.97151762,-85.69785979,10611.585,129.1422
41.97152681833333,-85.69779138,10612.113,129.1422
41.971536023333336,-85.69772294333333,10612.65,129.1422
41.971545215,-85.69765452833333,10613.178,129.0271
41.971554415,-85.69758612333334,10613.707,129.2573
41.97156362166667,-85.69751769833333,10614.239,129.0271
41.971572798333334,-85.69744929,10614.766,129.1422
41.971582016666666,-85.69738085666667,10615.304,129.1422
41.971591225,-85.697312435,10615.838,129.1422
41.971600441666666,-85.69724400666666,10616.374,129.2573
41.971609675,-85.69717555333334,10616.913,129.1422
41.97161886,-85.69710712166666,10617.443,129.1422
41.971628071666665,-85.697038695,10617.979,129.1422
41.97163727,-85.696970265,10618.512,129.1422
41.971646498333335,-85.69690184166667,10619.047,129.1422
41.971655733333336,-85.69683342,10619.583,129.1422
41.971664931666666,-85.696764985,10620.116,129.1422
41.97167416,-85.69669656166667,10620.653,129.1422
41.9716834,-85.69662814666667,10621.191,129.1422
41.97169260333333,-85.69655971833333,10621.722,129.1422
41.97170182666667,-85.69649127333334,10622.254,129.2573
41.971711041666666,-85.69642284166666,10622.788,129.0271
41.97172022,-85.69635443666667,10623.314,129.1422
41.97172942666667,-85.69628600666667,10623.851,129.1422
41.971738636666664,-85.69621759166667,10624.382,129.1422
41.97174784,-85.69614918333333,10624.91,129.1422
41.971757035,-85.69608077333334,10625.44,129.0271
41.971766245,-85.69601237333333,10625.97,129.1422
41.971775468333334,-85.69594396,10626.508,129.1422
41.971784676666665,-85.69587554833333,10627.037,129.1422
41.97179387833334,-85.69580713,10627.566,129.1422
41.971803075,-85.695738715,10628.099,129.0271
41.97181227833333,-85.69567032333333,10628.626,129.1422
41.971821508333335,-85.695601915,10629.157,129.1422
41.97183071833334,-85.695533505,10629.685,129.0271
41.97183991,-85.69546510666666,10630.213,129.1422
41.97184910666667,-85.69539668333333,10630.748,129.1422
41.97185829833333,-85.69532826666666,10631.276,129.1422
41.971867515,-85.69525985166666,10631.811,129.1422
41.97187674,-85.69519144166667,10632.341,129.1422
41.971885943333334,-85.69512302833333,10632.869,129.1422
41.971895143333334,-85.69505460666667,10633.407,129.1422
41.97190436,-85.69498620166667,10633.938,129.1422
41.971913565,-85.69491777833333,10634.472,129.1422
41.97192276,-85.69484935666667,10635.005,129.1422
41.971931973333334,-85.69478094666667,10635.538,129.1422
41.971941185,-85.69471253166667,10636.07,129.1422
41.97195038833333,-85.694644125,10636.602,129.1422
41.971959605,-85.69457571166667,10637.137,129.1422
41.971968815,-85.69450729666667,10637.668,129.1422
41.971978015,-85.6944389,10638.196,129.1422
41.971987213333335,-85.694370495,10638.724,129.1422
41.97199642166667,-85.69430207,10639.257,129.1422
41.97200563166667,-85.69423367333333,10639.786,129.1422
41.972014836666666,-85.69416526666667,10640.317,129.1422
41.97202404666667,-85.69409685166667,10640.846,129.1422
41.972033253333336,-85.69402843333333,10641.379,129.1422
41.97204246166667,-85.69396001166666,10641.913,129.0271
41.972051675,-85.69389161166667,10642.438,129.1422
41.97206089666667,-85.69382319,10642.974,129.1422
41.97207010166667,-85.69375478166667,10643.506,129.0271
41.9720793,-85.693686375,10644.032,129.1422
41.972088508333336,-85.69361795833333,10644.566,129.1422
41.97209770333333,-85.693549565,10645.094,129.1422
41.972106915,-85.69348117,10645.629,129.1422
41.97211612833333,-85.69341275666666,10646.162,129.1422
41.972125328333334,-85.69334432666666,10646.694,129.1422
41.97213454166667,-85.69327591666666,10647.226,129.1422
41.972143751666664,-85.693207495,10647.756,129.1422
